        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.19758E+01  0.24738E+01        0.170    0.124    0.221    0.168    0.194    0.000        0.222    0.032    0.108    0.070    0.163    0.000
  0.19986E+01  0.24724E+01        0.172    0.124    0.222    0.168    0.194    0.000        0.206    0.032    0.109    0.069    0.167    0.000
  0.20214E+01  0.24722E+01        0.172    0.123    0.222    0.170    0.194    0.000        0.193    0.031    0.110    0.069    0.172    0.000
  0.20443E+01  0.24726E+01        0.172    0.120    0.221    0.172    0.195    0.000        0.185    0.031    0.111    0.070    0.177    0.000
  0.20671E+01  0.24744E+01        0.171    0.117    0.220    0.174    0.196    0.000        0.181    0.030    0.112    0.071    0.181    0.000
  0.20899E+01  0.24770E+01        0.170    0.114    0.218    0.177    0.197    0.000        0.179    0.029    0.113    0.072    0.185    0.000
  0.21127E+01  0.24808E+01        0.168    0.111    0.216    0.180    0.199    0.000        0.179    0.029    0.114    0.073    0.188    0.000
  0.21355E+01  0.24851E+01        0.167    0.109    0.214    0.184    0.201    0.000        0.179    0.029    0.114    0.074    0.191    0.000
  0.21582E+01  0.24881E+01        0.166    0.109    0.213    0.187    0.201    0.000        0.180    0.029    0.115    0.076    0.193    0.000
  0.21810E+01  0.24916E+01        0.166    0.109    0.212    0.191    0.200    0.000        0.180    0.029    0.115    0.076    0.193    0.000
  0.22038E+01  0.24962E+01        0.167    0.111    0.212    0.194    0.198    0.000        0.180    0.029    0.115    0.076    0.190    0.000
  0.22265E+01  0.25000E+01        0.167    0.113    0.211    0.196    0.193    0.000        0.181    0.029    0.115    0.076    0.187    0.000
  0.22493E+01  0.25039E+01        0.168    0.115    0.209    0.197    0.186    0.000        0.185    0.030    0.117    0.077    0.183    0.000
  0.22720E+01  0.25084E+01        0.170    0.116    0.206    0.199    0.178    0.000        0.189    0.031    0.118    0.078    0.179    0.000
