text_01.dat                                                                     
poles     1  1  1
       phi     theta      int
   155.000    57.071     1.346
   165.000    57.071     1.133
   175.000    57.071     0.924
   185.000    57.071     0.869
  -185.000    66.474     1.549
  -175.000    66.474     1.418
  -165.000    66.474     1.662
  -155.000    66.474     1.217
  -145.000    66.474     1.071
  -135.000    66.474     0.994
  -125.000    66.474     0.555
  -115.000    66.474     0.311
  -105.000    66.474     0.222
   -95.000    66.474     0.210
   -85.000    66.474     0.208
   -75.000    66.474     0.236
   -65.000    66.474     0.366
   -55.000    66.474     0.706
   -45.000    66.474     0.873
   -35.000    66.474     0.877
   -25.000    66.474     1.350
   -15.000    66.474     1.517
    -5.000    66.474     1.976
     5.000    66.474     1.447
    15.000    66.474     1.228
    25.000    66.474     0.956
    35.000    66.474     0.879
    45.000    66.474     0.641
    55.000    66.474     0.488
    65.000    66.474     0.284
    75.000    66.474     0.281
    85.000    66.474     0.264
    95.000    66.474     0.210
   105.000    66.474     0.224
   115.000    66.474     0.294
   125.000    66.474     0.650
   135.000    66.474     0.901
   145.000    66.474     1.081
   155.000    66.474     0.957
   165.000    66.474     1.429
   175.000    66.474     1.549
   185.000    66.474     1.418
  -185.000    75.882     1.668
  -175.000    75.882     1.929
  -165.000    75.882     1.086
  -155.000    75.882     0.584
  -145.000    75.882     0.434
  -135.000    75.882     0.425
  -125.000    75.882     0.445
  -115.000    75.882     0.666
  -105.000    75.882     0.813
   -95.000    75.882     0.971
   -85.000    75.882     0.839
   -75.000    75.882     0.747
   -65.000    75.882     0.709
   -55.000    75.882     0.555
   -45.000    75.882     0.499
   -35.000    75.882     0.458
   -25.000    75.882     0.614
   -15.000    75.882     1.242
    -5.000    75.882     1.737
     5.000    75.882     2.091
    15.000    75.882     1.252
    25.000    75.882     0.655
    35.000    75.882     0.471
    45.000    75.882     0.482
    55.000    75.882     0.677
    65.000    75.882     0.927
    75.000    75.882     1.069
    85.000    75.882     1.092
    95.000    75.882     1.035
   105.000    75.882     1.009
   115.000    75.882     0.783
   125.000    75.882     0.582
   135.000    75.882     0.385
   145.000    75.882     0.457
   155.000    75.882     0.678
   165.000    75.882     1.250
   175.000    75.882     1.668
   185.000    75.882     1.929
  -185.000    85.294     1.035
  -175.000    85.294     1.158
  -165.000    85.294     0.869
  -155.000    85.294     0.500
  -145.000    85.294     0.434
  -135.000    85.294     0.570
  -125.000    85.294     1.010
  -115.000    85.294     1.542
  -105.000    85.294     1.961
   -95.000    85.294     2.038
   -85.000    85.294     2.014
   -75.000    85.294     2.272
   -65.000    85.294     1.945
   -55.000    85.294     1.172
   -45.000    85.294     0.542
   -35.000    85.294     0.370
   -25.000    85.294     0.420
   -15.000    85.294     0.876
    -5.000    85.294     1.433
     5.000    85.294     1.259
    15.000    85.294     0.878
    25.000    85.294     0.519
    35.000    85.294     0.498
    45.000    85.294     0.598
    55.000    85.294     1.082
    65.000    85.294     1.918
